 ,Area,Mean,Min,Max,Slice
271,350,4364.869,3385,5593,1
272,231,4630.273,3402,6089,1
273,428,5404.942,3402,6821,1
274,227,9362.674,3401,17706,1
275,275,4095.102,3384,4901,1
276,481,4513.004,3396,5974,1
277,345,4199.116,3386,5247,1
278,236,4934.936,3431,6883,1
279,470,5012.819,3387,7898,1
280,253,4379.344,3399,5631,1
281,263,3974.205,3396,5032,1
282,281,4882.929,3388,6265,1
283,298,4347.527,3404,5466,1
284,391,4656.015,3385,6065,1
285,329,6438.082,3391,9254,1
286,397,5097.564,3382,6932,1
287,341,6123.405,3405,8582,1
288,225,4602.178,3390,5897,1
289,223,5068.045,3385,6367,1
290,327,4352.810,3393,5354,1
291,282,4238.255,3398,5327,1
292,381,4623.942,3397,5906,1
293,337,4393.567,3388,5730,1
294,233,4550.948,3400,5861,1
295,326,3997.546,3385,5104,1
296,300,4004.767,3396,5193,1
297,298,4231.933,3385,5533,1
298,272,5109.346,3384,6887,1
299,253,4123.787,3383,5007,1
300,356,5028.329,3383,6783,1
301,226,4892.805,3403,6464,1
302,311,4280.897,3382,5385,1
303,327,6376.095,3429,8950,1
304,344,6087.270,3389,8275,1
305,315,4593.387,3386,6078,1
306,440,5251.216,3406,6852,1
307,307,3766.049,3387,4629,1
308,306,5217.480,3386,6786,1
309,319,3866.862,3386,4534,1
310,151,10065.854,3395,22084,1
311,246,4306.919,3394,5490,1
312,248,4507.919,3384,5793,1
313,398,5159.962,3415,7022,1
314,492,5157.756,3386,8260,1
315,279,4630.631,3382,6307,1
316,311,5058.122,3388,6442,1
317,296,5375.416,3393,7343,1
318,263,4372.099,3408,5559,1
319,162,9280.537,3420,19261,1
320,308,5174.705,3394,7272,1
321,359,4847.524,3388,6453,1
322,259,4242.579,3384,5717,1
323,480,6108.265,3496,8755,1
324,310,4505.423,3421,5784,1
325,279,5866.362,3416,7954,1
326,362,5189.506,3387,6749,1
327,458,5278.133,3396,7083,1
328,353,5966.116,3411,8409,1
329,279,4388.373,3388,5635,1
330,318,4941.236,3391,6854,1
331,308,5123.292,3406,6978,1
332,299,4643.542,3403,6285,1
333,314,4484.236,3404,5555,1
334,297,5349.613,3440,7462,1
335,286,5571.951,3401,7277,1
336,292,4053.582,3387,5295,1
337,295,4680.217,3385,6261,1
338,275,4364.825,3383,5653,1
339,369,4808.331,3398,5979,1
340,365,5679.504,3420,7546,1
341,393,6567.720,3393,10036,1
342,264,4403.848,3382,5713,1
343,357,5009.737,3417,6731,1
344,321,4480.417,3399,5984,1
345,295,4589.041,3402,6218,1
346,455,4539.765,3400,6302,1
347,273,4215.432,3382,5403,1
348,294,4682.102,3405,6435,1
349,297,4780.532,3435,6171,1
350,292,4633.031,3402,6087,1
351,270,5410.822,3396,7598,1
352,323,4808.344,3391,6262,1
353,309,4316.871,3384,5882,1
354,256,5771.324,3391,7658,1
355,283,5150.774,3497,6379,1
356,295,5298.349,3462,6960,1
357,403,5015.891,3403,6869,1
358,323,4928.557,3396,6300,1
359,265,4400.042,3382,5420,1
360,320,5010.178,3382,6504,1
